Date : 2026-02-11 18:50:40
Directory : c:\Users\ajays\OneDrive\Desktop\project\healthdee
Total : 311 files,  35376 codes, 1300 comments, 5260 blanks, all 41936 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentActionsMenu.tsx   | TypeScript JSX     |         48 |          0 |          6 |         54 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentFilters.tsx       | TypeScript JSX     |         44 |          2 |          6 |         52 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentPagination.tsx    | TypeScript JSX     |         34 |          0 |          6 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentStatusBadge.tsx   | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentTable.tsx         | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentTableRow.tsx      | TypeScript JSX     |         75 |          5 |         10 |         90 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\PatientInfoCell.tsx          | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\clinic\ClinicPagination.tsx                       | TypeScript JSX     |         47 |          0 |          6 |         53 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\clinic\ClinicStatCard.tsx                         | TypeScript JSX     |         34 |          0 |          6 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\clinic\ClinicStats.tsx                            | TypeScript JSX     |         34 |          0 |          5 |         39 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\clinic\ClinicStatusBadge.tsx                      | TypeScript JSX     |         17 |          0 |          5 |         22 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\clinic\ClinicTable.tsx                            | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\clinic\ClinicTableRow.tsx                         | TypeScript JSX     |         37 |          0 |          8 |         45 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\DoctorsInfoCell.tsx           | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationFilters.tsx       | TypeScript JSX     |         44 |          2 |          6 |         52 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationPagination.tsx    | TypeScript JSX     |         33 |          0 |          5 |         38 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationStatusBadge.tsx   | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationTable.tsx         | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationTableRow.tsx      | TypeScript JSX     |         66 |          4 |          9 |         79 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationsActionsMenu.tsx  | TypeScript JSX     |         48 |          0 |          6 |         54 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\BulkHelpCards.tsx                          | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorDeleteModal.tsx                      | TypeScript JSX     |         49 |          0 |          5 |         54 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorForm.tsx                             | TypeScript JSX     |        129 |          0 |         16 |        145 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorRowAction.tsx                        | TypeScript JSX     |         43 |          0 |          7 |         50 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorTable.tsx                            | TypeScript JSX     |        189 |          0 |         21 |        210 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\StatsCard.tsx                              | TypeScript JSX     |         33 |          0 |          5 |         38 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\EmailLoginStep.tsx                                 | TypeScript JSX     |         60 |          1 |         12 |         73 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\EmailSignupStep.tsx                                | TypeScript JSX     |         93 |          1 |         13 |        107 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\EmailVerificationStep.tsx                          | TypeScript JSX     |         11 |          0 |          1 |         12 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\ForgetPasswordForm.tsx                             | TypeScript JSX     |         32 |          1 |          9 |         42 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\LoginForm.tsx                                      | TypeScript JSX     |         87 |          5 |         16 |        108 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\LoginOtpStep.tsx                                   | TypeScript JSX     |         45 |          1 |          9 |         55 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\OtpStep.tsx                                        | TypeScript JSX     |         55 |          1 |          9 |         65 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\PhoneLoginStep.tsx                                 | TypeScript JSX     |         38 |          0 |          7 |         45 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\PhoneSignupStep.tsx                                | TypeScript JSX     |         53 |          2 |          9 |         64 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\ResetPasswordForm.tsx                              | TypeScript JSX     |         36 |          0 |         10 |         46 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\SelectRoleForm.tsx                                 | TypeScript JSX     |         74 |          2 |         11 |         87 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\SignupForm.tsx                                     | TypeScript JSX     |         88 |          0 |         16 |        104 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\DoctorCard.tsx                                   | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\PrescriptionForm.tsx                             | TypeScript JSX     |         30 |          0 |          6 |         36 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\appointment\AppointmentQueue.tsx                 | TypeScript JSX     |        125 |          8 |         16 |        149 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\appointment\appointmentSlot.tsx                  | TypeScript JSX     |         19 |          0 |          1 |         20 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\AboutDoctor.tsx                          | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\BookingPanel.tsx                         | TypeScript JSX     |        125 |          5 |         16 |        146 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\ClinicInfo.tsx                           | TypeScript JSX     |         55 |          4 |          9 |         68 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\DoctorProfile.tsx                        | TypeScript JSX     |         47 |          4 |          7 |         58 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\DoctorStats.tsx                          | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\Reviews.tsx                              | TypeScript JSX     |         36 |          0 |          5 |         41 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\AppointmentMeta.tsx         | TypeScript JSX     |         37 |          3 |          5 |         45 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\BookingActions.tsx          | TypeScript JSX     |         32 |          2 |          6 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\BookingConfirmationHero.tsx | TypeScript JSX     |         24 |          3 |          5 |         32 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\BookingSummaryCard.tsx      | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\DoctorSummary.tsx           | TypeScript JSX     |         53 |          4 |          7 |         64 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\ExpectationStep.tsx         | TypeScript JSX     |         33 |          2 |          4 |         39 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\SupportFooter.tsx           | TypeScript JSX     |         37 |          2 |          3 |         42 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\WhatToExpect.tsx            | TypeScript JSX     |         35 |          0 |          5 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\CurrentlyConsulting.tsx                | TypeScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\Header.tsx                             | TypeScript JSX     |         52 |          6 |         14 |         72 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\Sidebar.tsx                            | TypeScript JSX     |         83 |          3 |          9 |         95 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\StatCard.tsx                           | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\StatsSection.tsx                       | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\UrgentNotifications.tsx                | TypeScript JSX     |         26 |          0 |          5 |         31 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\earnings\EarningsSummary.tsx                     | TypeScript JSX     |         49 |          0 |          6 |         55 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\earnings\EarningsTable.tsx                       | TypeScript JSX     |         84 |          3 |         10 |         97 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\prescriptions\PrescriptionsTable.tsx             | TypeScript JSX     |         84 |          8 |         11 |        103 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\ClinicSettings.tsx                      | TypeScript JSX     |         40 |          0 |          7 |         47 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\NotificationSettings.tsx                | TypeScript JSX     |         52 |          0 |          8 |         60 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\ProfileSettings.tsx                     | TypeScript JSX     |         38 |          0 |          7 |         45 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\SecuritySettings.tsx                    | TypeScript JSX     |         32 |          0 |          7 |         39 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\help\FAQAccordion.tsx                                   | TypeScript JSX     |         41 |          0 |          7 |         48 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\help\HelpTopicCard.tsx                                  | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\home\CTASection.tsx                                     | TypeScript JSX     |         21 |          8 |          4 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\home\HeroSection.tsx                                    | TypeScript JSX     |         56 |          5 |          9 |         70 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\home\HowItWorksSection.tsx                              | TypeScript JSX     |        108 |          6 |          9 |        123 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\home\SpecialtiesSection.tsx                             | TypeScript JSX     |        122 |          2 |          5 |        129 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\home\TopRatedDoctors.tsx                                | TypeScript JSX     |        160 |         16 |         15 |        191 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\home\TrustStatsSection.tsx                              | TypeScript JSX     |         64 |          4 |          8 |         76 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\home\WhyHealthDeeSection.tsx                            | TypeScript JSX     |         98 |          4 |          7 |        109 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\layout\Footer.tsx                                       | TypeScript JSX     |        117 |          9 |         13 |        139 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\layout\Header.tsx                                       | TypeScript JSX     |         61 |          5 |          8 |         74 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\DangerZone.tsx                                  | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\EmergencyContactItem.tsx                        | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\EmergencyContactSection.tsx                     | TypeScript JSX     |         33 |          0 |          7 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\NotificationPrivacySection.tsx                  | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\PatientInfoCard.tsx                             | TypeScript JSX     |         44 |          0 |          5 |         49 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\PatientSettingsLayout.tsx                       | TypeScript JSX     |         21 |          0 |          4 |         25 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\PatientSideBar.tsx                              | TypeScript JSX     |         75 |          0 |          8 |         83 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\PatientTopNav.tsx                               | TypeScript JSX     |         52 |          0 |          5 |         57 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\PersonalInfoFieldCard.tsx                       | TypeScript JSX     |         26 |          0 |          3 |         29 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\PersonalInformationSection.tsx                  | TypeScript JSX     |         39 |          0 |          5 |         44 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\ProfileHeader.tsx                               | TypeScript JSX     |         44 |          0 |          5 |         49 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\patient\ToggleSettingsItem.tsx                          | TypeScript JSX     |         23 |          0 |          5 |         28 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\PasswordInput.tsx                                    | TypeScript JSX     |         38 |          1 |          7 |         46 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\RadioGroup.tsx                                       | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\alert.tsx                                            | TypeScript JSX     |         53 |          0 |          7 |         60 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\avatar.tsx                                           | TypeScript JSX     |         44 |          0 |          7 |         51 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\badge.tsx                                            | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\button.test.tsx                                      | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\button.tsx                                           | TypeScript JSX     |         52 |          0 |          6 |         58 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\card.tsx                                             | TypeScript JSX     |         68 |          0 |          9 |         77 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\dropdown-menu.tsx                                    | TypeScript JSX     |        183 |          0 |         19 |        202 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\input.tsx                                            | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\pagination.tsx                                       | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\select.tsx                                           | TypeScript JSX     |        146 |          0 |         14 |        160 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\switch.tsx                                           | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\table.tsx                                            | TypeScript JSX     |        110 |          0 |         11 |        121 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\ui\tooltip.tsx                                          | TypeScript JSX     |         25 |          0 |          8 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\db\index.ts                                                        | TypeScript         |         13 |          3 |          4 |         20 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\db\schema.ts                                                       | TypeScript         |        365 |         33 |         45 |        443 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\db\turso.tsx                                                       | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\docs\ai-codebase-map.md                                            | Markdown           |      4,885 |          0 |      2,657 |      7,542 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\docs\folder-structure.md                                           | Markdown           |        459 |          0 |          2 |        461 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\drizzle.config.ts                                                  | TypeScript         |         18 |          1 |          4 |         23 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\drizzle\0000_purple_tiger_shark.sql                                | MS SQL             |        174 |         15 |          1 |        190 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\drizzle\0001_exotic_dakota_north.sql                               | MS SQL             |          6 |          1 |          0 |          7 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\drizzle\meta\0000_snapshot.json                                    | JSON               |      1,334 |          0 |          0 |      1,334 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\drizzle\meta\0001_snapshot.json                                    | JSON               |      1,373 |          0 |          0 |      1,373 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\drizzle\meta\_journal.json                                         | JSON               |         20 |          0 |          0 |         20 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\eslint.config.mjs                                                  | JavaScript         |         14 |          2 |          3 |         19 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\export-tree-for-ai.ps1                                             | PowerShell         |         25 |          0 |          9 |         34 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\hooks\useAppointment.tsx                                           | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\hooks\useAuth.tsx                                                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\hooks\useDebounce.tsx                                              | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\hooks\useRole.tsx                                                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\lib\auth.ts                                                        | TypeScript         |         29 |          2 |          7 |         38 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\lib\constant.tsx                                                   | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\lib\routes.tsx                                                     | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\lib\utils.test.ts                                                  | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\lib\utils.ts                                                       | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\lib\validators.tsx                                                 | TypeScript JSX     |        111 |         25 |         32 |        168 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\next.config.ts                                                     | TypeScript         |         15 |          1 |          1 |         17 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\package-lock.json                                                  | JSON               |     12,835 |          0 |          1 |     12,836 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\package.json                                                       | JSON               |         71 |          0 |          1 |         72 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\postcss.config.mjs                                                 | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\scripts\seed.ts                                                    | TypeScript         |         81 |         15 |         14 |        110 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\constants\otp-channel.ts                                    | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\constants\user-role.ts                                      | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\constants\user-status.ts                                    | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\db\types.ts                                                 | TypeScript         |          6 |          4 |          4 |         14 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\appointment.domain.ts                                | TypeScript         |         63 |         21 |         15 |         99 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\audit.domain.ts                                      | TypeScript         |         74 |         18 |         11 |        103 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\auth.domain.ts                                       | TypeScript         |         64 |         15 |         14 |         93 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\clinic.domain.ts                                     | TypeScript         |         41 |         18 |          9 |         68 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\consent.domain.ts                                    | TypeScript         |         54 |         12 |         13 |         79 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\consultation.domain.ts                               | TypeScript         |         72 |         21 |         14 |        107 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\doctor.domain.ts                                     | TypeScript         |         67 |         15 |         15 |         97 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\erasure.domain.ts                                    | TypeScript         |         41 |         15 |         11 |         67 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\index.ts                                             | TypeScript         |         10 |         30 |         10 |         50 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\prescription.domain.ts                               | TypeScript         |         64 |         26 |         13 |        103 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\domain\user.domain.ts                                       | TypeScript         |         37 |         12 |         11 |         60 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\http\response.ts                                            | TypeScript         |         44 |          0 |          5 |         49 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\http\route-helpers.ts                                       | TypeScript         |         65 |         14 |         12 |         91 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\middleware\auth.ts                                          | TypeScript         |         25 |          0 |          8 |         33 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\middleware\rate-limit.ts                                    | TypeScript         |         22 |          0 |          8 |         30 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\ability.ts                                         | TypeScript         |         30 |         11 |         12 |         53 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\access\canAccess.ts                                | TypeScript         |         27 |          4 |          7 |         38 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\access\canAccessAppointment.ts                     | TypeScript         |         33 |          1 |          8 |         42 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\access\canAccessPatient.ts                         | TypeScript         |         29 |          4 |          7 |         40 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\access\canAccessPrescription.ts                    | TypeScript         |         33 |          1 |          8 |         42 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\access\canAccessUser.ts                            | TypeScript         |         28 |          3 |          6 |         37 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\fields\patient.fields.ts                           | TypeScript         |         41 |         23 |         11 |         75 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\guards\isAdmin.ts                                  | TypeScript         |          4 |          4 |          3 |         11 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\guards\isDoctor.ts                                 | TypeScript         |          4 |          4 |          3 |         11 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\guards\isPatient.ts                                | TypeScript         |          4 |          4 |          3 |         11 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\permissions.ts                                     | TypeScript         |         53 |         12 |         15 |         80 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\rbac-deps.ts                                       | TypeScript         |         34 |         31 |          8 |         73 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\repositories.ts                                    | TypeScript         |         18 |          5 |          6 |         29 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\roles.ts                                           | TypeScript         |         22 |          7 |          8 |         37 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\policies\types.ts                                           | TypeScript         |         18 |          5 |          6 |         29 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\rate-limit\memory-store.ts                                  | TypeScript         |         21 |          0 |          6 |         27 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\rate-limit\sqlite-store.ts                                  | TypeScript         |         37 |          0 |          8 |         45 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\rate-limit\store.ts                                         | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\repositories\appointment.repo.ts                            | TypeScript         |        270 |         16 |         62 |        348 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\repositories\audit.repo.ts                                  | TypeScript         |         24 |          6 |          2 |         32 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\repositories\doctor.repo.ts                                 | TypeScript         |        191 |         19 |         38 |        248 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\repositories\patient.repo.ts                                | TypeScript         |        140 |         17 |         28 |        185 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\repositories\prescription.repo.ts                           | TypeScript         |        153 |         16 |         36 |        205 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\repositories\user.repo.ts                                   | TypeScript         |        260 |         19 |         59 |        338 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\admin.service.tsx                                  | TypeScript JSX     |        193 |         29 |         37 |        259 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\api.tsx                                            | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\appointment.service.tsx                            | TypeScript JSX     |        274 |         32 |         56 |        362 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\auth.service.tsx                                   | TypeScript JSX     |        270 |         38 |         74 |        382 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\doctor.service.tsx                                 | TypeScript JSX     |        133 |         24 |         32 |        189 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\patient.service.tsx                                | TypeScript JSX     |        140 |         26 |         36 |        202 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\prescription.services.tsx                          | TypeScript JSX     |        107 |         18 |         24 |        149 |
| c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\services\user.service.tsx                                   | TypeScript JSX     |         83 |         19 |         26 |        128 |
